Rank,Player,Points,Country,Characters
1,"Ice On Deck",1838,"","Min Min - Toon Link"
2,"xavier",1833,"","Mario - Pit - Donkey Kong - Piranha Plant - Duck Hunt"
3,"Stevebr0",1769,"","Falco - Toon Link - Lucina"
4,"Secret",1740,"","Shulk - Snake"
5,"FZP | EO",1710,"","Bowser"
6,"TC | flackito",1677,"","Terry - Kazuya - Sonic"
7,"FBG | mrguy321",1658,"","Mii Gunner - Dr Mario"
8,"Menchu",1640,"","Dr Mario"
9,"$Krilldog$",1577,"","Sephiroth"
10,"Bjr",1486,"","King K Rool - Donkey Kong"
11,"Epoqua",1482,"","Joker"
12,"Z.A.M.",1412,"","Zero Suit Samus - Bayonetta"
13,"sacred",1381,"","Pokemon Trainer"
14,"koala cub",1380,"","Palutena"
15,"Pocket",1378,"","Sora"
16,"KevinJSI",1370,"","Byleth - Pyra / Mythra"
17,"Blob",1344,"","Wii Fit Trainer"
18,"Tempo",1312,"","Ken"
19,"AlteredBeast",1281,"","Wolf - Terry - Pyra / Mythra"
20,"Starmiedx",1265,"","Diddy Kong - Mewtwo"
21,"dashsix",1191,"","Toon Link - Cloud"
22,"Deus Ex (Slot) Machina",1177,"","Hero"
23,"toph",1176,"","Ness - Incineroar"
24,"Flavor",1093,"","Piranha Plant"
25,"shoobopper",1050,"","Bowser"
26,"Bean",1009,"","Wolf - Simon"
27,"FruitPunchSamurai",1004,"",""
28,":) | Wingnut",998,"","Pichu"
29,"Pickleboy | dillpickleboy",960,"",""
30,"traitorjoe",856,"","Incineroar - Wario"
31,"Pollen",779,"","Fox"
32,"Sx",686,"",""
33,"Miker2112",674,"","Pyra / Mythra - Mr Game And Watch"
34,"Warioman",618,"","Wario"
