player,semester,peak_rank,points
Ice On Deck,Spring 2023,1,1838
Stevebr0,Spring 2022,1,1882
xavier,Fall 2022,1,2007
SJ | Strawhat,Spring 2019,1,2090
Skies,Spring 2020,2,1874
red berpo,Spring 2019,2,1903
FZP | EO,Fall 2022,2,1810
Secret,Spring 2020,3,1812
shellder,Spring 2019,3,1738
FBG | mrguy321,Spring 2022,3,1669
Andromeda,Fall 2019,3,1838
TC | flackito,Fall 2021,3,1730
Bizelion,Spring 2020,4,1677
Tempo,Spring 2019,5,1736
toph,Fall 2021,5,1687
Lemonpepsi,Fall 2019,5,1795
Menchu,Fall 2022,6,1677
Mu^,Fall 2019,6,1712
Caw,Fall 2021,6,1667
KevinJSI,Spring 2022,6,1462
Cool,Spring 2020,7,1556
Barry mc,Spring 2022,7,1426
Ferret,Fall 2021,7,1583
Venture,Fall 2022,7,1600
Blob,Fall 2019,7,1702
Momo,Fall 2021,8,1582
RPG | Nutty,Spring 2019,8,1667
Pocket,Spring 2022,8,1422
Bjr,Fall 2022,8,1584
Mendez,Fall 2019,8,1657
Levin~,Spring 2020,8,1546
Vegeta,Spring 2020,9,1507
$Krilldog$,Spring 2023,9,1577
koala cub,Fall 2022,9,1545
traitorjoe,Fall 2021,9,1444
Ramnikia,Spring 2019,9,1665
GaryOnHisBS,Fall 2019,9,1612
bubbyloaf,Fall 2021,10,1417
Flavor,Fall 2022,10,1501
Fecht,Spring 2022,11,1394
Epoqua,Spring 2023,11,1482
AlteredBeast,Fall 2021,11,1385
Ryan,Spring 2019,11,1630
Z.A.M.,Spring 2023,12,1412
Evanem,Spring 2019,12,1596
h,Spring 2022,12,1365
MoralAtheist,Fall 2022,12,1408
PSG | Grixis,Fall 2019,12,1545
Swickalicious,Fall 2021,12,1372
sacred,Spring 2023,13,1381
Crystal D,Spring 2022,14,1294
Youssef,Spring 2022,15,1188
Stuffy,Fall 2019,15,1537
No,Spring 2019,15,1576
Gear,Spring 2019,16,1561
Doctor | Slim D. Jim,Spring 2022,16,1156
ChunkyMonkey,Fall 2022,16,1240
Jio NExuS,Fall 2021,17,1135
Yoshistar,Spring 2020,18,1304
dashsix,Fall 2022,18,1003
boqw,Spring 2019,18,1477
Gamer Pavillion | EromangaFan,Fall 2021,18,1128
Pollen,Spring 2022,18,842
Wil,Fall 2022,19,980
KekNinja,Fall 2019,19,1478
Warioman,Spring 2022,19,781
BLITZ_1217,Spring 2019,19,1461
Bergen | Zote,Fall 2022,20,976
Starmiedx,Spring 2023,20,1265
Just_Dan,Fall 2021,20,946
Dougdimmadome,Spring 2020,20,1225
Double,Spring 2020,21,1202
Gangadiddle,Fall 2021,21,858
Ley38,Spring 2019,21,1443
Clobbah,Fall 2019,21,1414
Deus Ex (Slot) Machina,Spring 2023,22,1177
Luke Snywalker,Spring 2020,22,1169
Sx,Fall 2022,23,722
cobaly,Spring 2020,23,1142
LS | Scardone,Spring 2019,23,1412
Toad,Fall 2021,24,722
Ayds,Spring 2020,24,1059
shoobopper,Spring 2023,25,1050
Supreme,Spring 2020,25,1011
RyanSavage,Spring 2019,25,1368
Bean,Spring 2023,26,1009
Sinbad ,Spring 2020,26,1006
ewisko,Spring 2020,27,999
JJM,Spring 2019,27,1334
FruitPunchSamurai,Spring 2023,27,1004
FDNC | Bernie Sanders,Spring 2020,28,965
9734521004 | ;(,Fall 2019,28,1273
:) | Wingnut,Spring 2023,28,998
Pickleboy | dillpickleboy,Spring 2023,29,960
DeFaz,Fall 2019,30,1216
exxlppm,Spring 2019,31,1290
Chriso,Spring 2020,32,728
e-in,Spring 2019,32,1285
Rake,Fall 2019,32,1199
Miker2112,Spring 2023,33,674
Ian,Spring 2019,35,1249
Bhaijan,Spring 2020,35,618
Renda,Spring 2019,36,1243
BigSexc,Fall 2019,36,990
Juicy J,Fall 2019,37,979
Fatch,Fall 2019,38,702
Falcon,Fall 2019,40,667
JGG | madluk,Spring 2019,40,1121
P-Merks,Spring 2019,41,1108
A2 | Eternal,Spring 2019,43,1049
HD | Orphan,Spring 2019,44,884
Status,Spring 2019,45,747
GRA,Spring 2019,46,643
bunz,Spring 2019,47,640
